0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
1,Erkek,10-15,5-10,5,Lise,Hayır,Bekar,Türkiye'de Kalmak,Avrupa Ülkesi,5,5,5,4,3,3,4,4,3,3,3,5,4,3,3,3,2,5,3,Zorluk yaşamıyorum.,Türkçeyi öğrenme.,Hiçbir şey.,Top oynama fırsatı isterim. ,Bilmiyorum.,Bilmiyorum.,Biraz zor. ,Karakterim değişti.,Bilmem. ,Hiçbir şeye.,Hiçbir sorunla karşılaşmıyorum.,,İlk okulda bazı sorunlar vardı şimdi yok.,Oldu.,Bilmiyorum.,Hiçbir şey.,Arkadaş kurma.,Bazen olumsuz şeyler olur bazen de olumlu.,3,2,3,1,2,1,2,2,3,3
2,Kadın,10-15,5-10,5,İlkokul,Hayır,Bekar,Türkiye'de Kalmak,Türkiye,5,5,4,5,4,5,3,5,4,4,3,1,4,5,3,3,5,5,4,Biraz.,Eğitimi ilerletebilmek.,"Akraba özlemi, onlarla sık sık konuşarak başa .ıkıyorum.",Pek anlamadım.,Eğitimimi tamamlamış ve istediğim mesleği almış.,Belki ekonomiden dolayı sıkıntı olabilir.,İyi bence. ,Daha aktif ve mutluyum.,Başka şehirlere gidebilmek.,Mutluyum yok.,İyi ama ihtiyacım olmadı.,Çözüm üretiyorum.,Ayrımcılık hissetmiyorum.,Ayrımcılık yapmaları beni etkiledi.,İlk başta türkçe bilmediğim için dersi anlayamıyordum. Ama şimdi çok iyi anlıyorum.,Yok. Güvendeyim.,Sevdiğim kişilerle istediklerimi yaptım.,Belki bütün yerlere gidemiyorlardır.,1,1,2,3,1,1,2,3,3,1
3,Erkek,10-15,5-10,5,Lise,Hayır,Bekar,Türkiye'den Gitmek,Avrupa Ülkesi,3,1,5,3,2,5,2,4,3,2,2,3,3,4,3,2,3,4,4,Yaşadığım zorluk yok.,Güvendir.,Kötü insanları uzaklaştırmak.,Cevap yok.,İyi bir şey bekliyorum ve çalışmaya gerek olmayan.,Okula devam etmek.,Ben öğrenci olduğum için ne düşünüyorsam yapmaya çalışıcam.,Şu anda iyi geçiyor ve yeniden birleşme bekliyorum.,Sadece arkadaşlarımın iyi olmasını istiyorum ama Türk olmasın.,Hiçbir şey.,Yok bir şey.,Bunu aşmaya çalışıyorum,Zorbalık yok.,Sadece okulda.,,Rahatsızlık.,Çalışma yok. ,Cevap yok.,3,3,2,5,4,1,5,4,3,3
4,Kadın,10-15,10+,5,Lise,Hayır,Bekar,Türkiye'de Kalmak,Türkiye,5,4,1,4,4,5,4,3,4,4,1,5,5,5,2,3,5,5,2,Sürekli dalga geçmeleri.,Eğitim fırsatı var.,Umursamıyorum.,,Orta.,Umutlarım iyi. Öğrenip büyüyecekler.,İyi.,Çalışkan olmam.,Suriyelileri sürekli küçük düşürmesinler.,Para.,,"Umursamıyorum, alıştım.",Sınıfın tamamına bir iş verilirken aralarında olmamam.,Evet oldu.,Benim yok.,Bir anda Suriye'ye yollanmak ve okulu bırakmak.,Yeni dil öğrendim.,Herkes bizi istemiyor. ,3,3,3,3,2,1,1,3,3,1
5,Kadın,30-50,10+,1,İlkokul,Evet,Dul,Türkiye'den Gitmek,Avrupa Ülkesi,3,3,3,3,2,2,2,2,3,2,2,2,3,3,1,2,2,3,1,Aşırı yüksek fiyatlar. ,Güven ve huzur vardı.,Irkçılıktan uzak durmak.,Dili bilmemek.,Gelecek bir şey yok.,Türkiye'den sınır dışı edilme.,Çalışma saatlerinin azaltılması,Can sıkıntısı.,Gelenek ve göreneklerin bilinmesi.,Mali durumun iyileştirilmesi.,Dili bilmemek.,Kimseye karışmıyorum.,Bana sürekli suriyeli diyorlar.,İlk başta evet vardı.,İlgi eksikliği.,Irkçılık kampanyaları.,Zaman zaman güvenlik.,Yeterli farkındalığın olmaması.,1,1,3,3,3,3,2,3,1,1
6,Kadın,15-30,5-10,4,Lise,Hayır,Bekar,Türkiye'den Gitmek,Avrupa Ülkesi,3,2,3,4,4,5,1,2,3,3,1,1,4,4,2,1,4,3,1,Türkiye'de çok ırkçılık var.,Türkiye'de savaş yok.,Sürekli yüksek fiyatlar ve ırkçılık ve biz  bunların üstesinden sabırla geliyoruz.,Suriyeliler ve türkler arasındaki ayrım.,Hayat pahalılığı nedeniyle gelecek yok.,Zorbalık ve ırkçılık.,Üniversite eğitimimi tamamlama.,Artık korkmuyorum çünkü Türkiye'de savaş yok.,Suriyelilere türk vatandaşlığı vermek.,Para ve ucuz ev kiraları.,Irkçılık.,Sabır.,Bir gün bimdeydim ve kasiyer bana ülkemizde suriyelileri istemiyoruz dedi.,"Evet, Türkiye'de bazı iyi türkler var.",Üniversite eğitimi çok para gerektirir.,Bizi Türkiye'den kovarlar diye korkuyorum.,Psikolojik rahatlık ve güvenlik.,Sosyal  medyada yayılan videolar nedeniyle suriyeliler hakkında yanlış inanışlar.,3,1,3,2,2,3,2,2,1,3
7,Kadın,10-15,5-10,3,İlkokul,Hayır,Bekar,Türkiye'den Gitmek,Avrupa Ülkesi,3,2,3,4,4,5,1,2,3,3,1,1,4,4,2,1,4,3,1,Türkiye'de çok ırkçılık var.,Türkiye'de savaş yok.,Sürekli yüksek fiyatlar ve ırkçılık ve biz  bunların üstesinden sabırla geliyoruz.,Suriyeliler ve türkler arasındaki ayrım.,hayat pahalılığı nedeniyle gelecek yok.,zorbalık ve ırkçılık.,üniversite eğitimimi tamamlama.,Artık korkmuyorum çünkü Türkiye'de savaş yok.,Suriyelilere türk vatandaşlığı vermek.,Para ve ucuz ev kiraları.,Irkçılık.,Sabır.,Bir gün bimdeydim ve kasiyer bana ülkemizde suriyelileri istemiyoruz dedi.,"Evet, Türkiye'de bazı iyi türkler var.",Üniversite eğitimi çok para gerektirir.,Bizi Türkiye'den kovarlar diye korkuyorum.,Psikolojik rahatlık ve güvenlik.,Sosyal  medyada yayılan videolar nedeniyle suriyeliler hakkında yanlış inanışlar.,3,1,3,3,2,3,3,2,1,3
8,Kadın,15-30,5-10,4,Lise,Hayır,Bekar,Türkiye'den Gitmek,Avrupa Ülkesi,3,2,3,4,3,5,1,2,3,3,1,1,4,4,3,1,4,3,1,Bazı türkler suriyelilere karşı çok ırkçı.,Türkiye'de savaş yok.,Sürekli yüksek fiyatlar ve ırkçılık ve biz  bunların üstesinden sabırla geliyoruz.,Suriyeliler ve türkler arasındaki ayrım.,hayat pahalılığı nedeniyle gelecek yok.,zorbalık ve ırkçılık.,Üniversite eğitimimi tamamlama.,Artık korkmuyorum çünkü Türkiye'de savaş yok.,Suriyelilere türk vatandaşlığı vermek.,Para ve ucuz ev kiraları.,Irkçılık.,Sabır.,Bir gün bimdeydim ve kasiyer bana ülkemizde suriyelileri istemiyoruz dedi.,"Evet, Türkiye'de bazı iyi türkler var.",Üniversite eğitimi çok para gerektirir.,Bizi Türkiye'den kovarlar diye korkuyorum.,Psikolojik rahatlık ve güvenlik.,Sosyal  medyada yayılan videolar nedeniyle suriyeliler hakkında yanlış inanışlar.,3,1,3,2,2,3,3,2,1,3
9,Kadın,15-30,5-10,1,Lise,Hayır,Evli,Türkiye'de Kalmak,Türkiye,3,4,3,4,4,2,2,4,2,3,3,1,3,2,1,2,2,3,4,Anlama zorluğu.,"Güvenlilik, konfor ve güvence.",Dil zorluğu zor.,Onlarla konuşmak.,Güzel gelecek.,Güzel bir bilimsel gelecek var.,Çalışmaya bağlılık.,Hayatta daha iyiye doğru değişiklik.,Onlarla anlaşmak.,Çocuklara yönelik destek.,Yabancılar için işler daha karmaşık.,Sakin olmak mantıklı.,Okulda ve alışveriş yaparken.,Evet var.,Dil.,Sınır dışı edilmek.,Türkiye'ye giriş süremiz ve güvenliğimiz.,Tüm türklerle başa çıkmanın zor olduğunu düşünüyordum ama inancım yanlıştı.,3,2,3,1,3,2,1,3,2,4
10,Kadın,30-50,5-10,1,Lise,Hayır,Evli,Türkiye'de Kalmak,Türkiye,4,4,5,5,3,2,2,5,3,4,2,4,3,1,3,3,4,4,5,Anlama zorluğu.,"Güvenlilik, konfor ve güvence.",Dil zorluğu zor.,Onlarla konuşmak.,Güzel gelecek.,Güzel bir bilimsel gelecek var.,Çalışmaya bağlılık.,Hayatta daha iyiye doğru değişiklik.,Onlarla anlaşmak.,Çocuklara yönelik destek.,Yabancılar için işler daha karmaşık.,Sakin olmak mantıklı.,Okulda ve alışveriş yaparken.,Evet var.,Dil.,Sınır dışı edilmek.,Türkiye'ye giriş süremiz ve güvenliğimiz.,tüm türklerle başa çıkmanın zor olduğunu düşünüyordum ama inancım yanlıştı.,4,3,2,3,3,3,1,3,3,5
